Comment,Designator,Footprint,LCSC,Quantity
D5V0M5B6LP16-7,D2,DFN1616-6_L1.6-W1.6-P0.50-BL-EP,C445551,1
H7VH10U,D3,SOD-882_L1.0-W0.6-BI,C7420372,1
TS-1088-AR02016,SW1,SW-SMD_L3.9-W3.0-P4.45,C720477,1
0402WGF3300TCE,R3,R_0402_1005Metric,,1
0402WGF1001TCE,R5,R_0402_1005Metric,,1
RP2040,U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,1
0402WGF1200TCE,R15,R_0402_1005Metric,,1
0402WGF2202TCE,R1,R_0402_1005Metric,,1
CL05B104KB54PNC,C13,C_0402_1005Metric,,1
0402WGF2201TCE,R10,R_0402_1005Metric,,1
0402WGF1001TCE,R16,R_0402_1005Metric,,1
CL05B104KB54PNC,C8,C_0402_1005Metric,,1
CL05A105KA5NQNC,C7,C_0402_1005Metric,,1
0402WGF1003TCE,R6,R_0402_1005Metric,,1
CL05B104KB54PNC,C9,C_0402_1005Metric,,1
CL05B104KB54PNC,C11,C_0402_1005Metric,,1
0402WGF1002TCE,R20,R_0402_1005Metric,,1
0402WGF1000TCE,R14,R_0402_1005Metric,,1
0402WGF1001TCE,R23,R_0402_1005Metric,,1
CL05B104KB54PNC,C12,C_0402_1005Metric,,1
0402WGF2201TCE,R9,R_0402_1005Metric,,1
0402CG330J500NT,C15,C_0402_1005Metric,,1
0402CG101J500NT,C2,C_0402_1005Metric,,1
0402CG330J500NT,C14,C_0402_1005Metric,,1
CL05B104KB54PNC,C5,C_0402_1005Metric,,1
CL05B104KB54PNC,C10,C_0402_1005Metric,,1
0402WGF1003TCE,R7,R_0402_1005Metric,,1
0402WGF1002TCE,R19,R_0402_1005Metric,,1
0402WGF1001TCE,R4,R_0402_1005Metric,,1
CL10A106MA8NRNC,C3,C_0603_1608Metric,,1
CL05A105KA5NQNC,C6,C_0402_1005Metric,,1
CL05B103KB5NNNC,C1,C_0402_1005Metric,,1
AP2112K-3.3TRG1,U2,SOT-23-5,,1
CL10A106MA8NRNC,C4,C_0603_1608Metric,,1
2N7002,Q1,SOT-23,,1
208658-1001,J1,HDMI_A_Molex_208658-1001_Horizontal,,1
0402WGF5101TCE,R18,R_0402_1005Metric,,1
USBLC6-2SC6,U3,SOT-23-6,,1
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
0402WGF2200TCE,R2,R_0402_1005Metric,,1
W25Q16JVSSIQ,U4,SOIC-8_5.3x5.3mm_P1.27mm,,1
0402WGF330JTCE,R22,R_0402_1005Metric,,1
0402WGF2003TCE,R12,R_0402_1005Metric,,1
USB4105-GF-A-060,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
0402WGF1003TCE,R13,R_0402_1005Metric,,1
0402WGF2201TCE,R11,R_0402_1005Metric,,1
0402WGF2201TCE,R8,R_0402_1005Metric,,1
0402WGF5101TCE,R17,R_0402_1005Metric,,1
KT-0603R,D1,LED_0603_1608Metric,,1
PCA9306DCTR,U1,VSSOP-8_2.3x2mm_P0.5mm,,1
0402WGF330JTCE,R21,R_0402_1005Metric,,1
