Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL05B103KB5NNNC,C_0402_1005Metric,114.74,-114.41,90.0,top
C10,CL05B104KB54PNC,C_0402_1005Metric,133.15,-115.6,0.0,top
C11,CL05B104KB54PNC,C_0402_1005Metric,133.02,-112.96,0.0,top
C12,CL05B104KB54PNC,C_0402_1005Metric,125.94,-117.37,180.0,top
C13,CL05B104KB54PNC,C_0402_1005Metric,130.42,-117.89,-90.0,top
C14,0402CG330J500NT,C_0402_1005Metric,122.5,-111.5,90.0,top
C15,0402CG330J500NT,C_0402_1005Metric,121.5,-115.1,-90.0,top
C2,0402CG101J500NT,C_0402_1005Metric,118.3,-108.53,90.0,top
C3,CL10A106MA8NRNC,C_0603_1608Metric,137.52,-114.18,0.0,top
C4,CL10A106MA8NRNC,C_0603_1608Metric,136.345,-119.18,0.0,top
C5,CL05B104KB54PNC,C_0402_1005Metric,132.67,-109.19,0.0,top
C6,CL05A105KA5NQNC,C_0402_1005Metric,122.525,-113.825,-90.0,top
C7,CL05A105KA5NQNC,C_0402_1005Metric,129.72,-107.34,90.0,top
C8,CL05B104KB54PNC,C_0402_1005Metric,132.6,-112.04,0.0,top
C9,CL05B104KB54PNC,C_0402_1005Metric,132.71,-114.57,0.0,top
D1,KT-0603R,LED_0603_1608Metric,124.5,-119.0,0.0,top
D2,D5V0M5B6LP16-7,DFN1616-6_L1.6-W1.6-P0.50-BL-EP,113.66,-108.55,90.0,top
D3,H7VH10U,SOD-882_L1.0-W0.6-BI,112.84,-104.93,90.0,top
J1,208658-1001,HDMI_A_Molex_208658-1001_Horizontal,107.215,-111.0,180.0,top
J2,USB4105-GF-A-060,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,145.165,-111.0,90.0,top
Q1,2N7002,SOT-23,115.24,-105.81,180.0,top
R1,0402WGF2202TCE,R_0402_1005Metric,126.6,-106.81,0.0,top
R10,0402WGF2201TCE,R_0402_1005Metric,115.0,-110.94,-90.0,top
R11,0402WGF2201TCE,R_0402_1005Metric,116.1,-110.45,-90.0,top
R12,0402WGF2003TCE,R_0402_1005Metric,117.33,-108.51,-90.0,top
R13,0402WGF1003TCE,R_0402_1005Metric,117.68,-104.8,90.0,top
R14,0402WGF1000TCE,R_0402_1005Metric,116.26,-116.87,0.0,top
R15,0402WGF1200TCE,R_0402_1005Metric,116.26,-115.88,0.0,top
R16,0402WGF1001TCE,R_0402_1005Metric,129.0,-104.88,90.0,top
R17,0402WGF5101TCE,R_0402_1005Metric,140.95,-113.26,-90.0,top
R18,0402WGF5101TCE,R_0402_1005Metric,140.98,-108.32,90.0,top
R19,0402WGF1002TCE,R_0402_1005Metric,138.24,-109.15,180.0,top
R2,0402WGF2200TCE,R_0402_1005Metric,128.2,-107.39,90.0,top
R20,0402WGF1002TCE,R_0402_1005Metric,122.75,-117.0,-90.0,top
R21,0402WGF330JTCE,R_0402_1005Metric,135.03,-113.8,0.0,top
R22,0402WGF330JTCE,R_0402_1005Metric,135.02,-112.85,0.0,top
R23,0402WGF1001TCE,R_0402_1005Metric,121.5,-113.2,90.0,top
